Directors,Descriptions
Sam Mendes,"Because of his highly technical and visual theater productions in London and on Broadway, Sam Mendes made a smooth transition to film with ""American Beauty"" (1999), which earned him an Academy Award for his directing debut. Previous to his Oscar triumph, Mendes enjoyed a long and very successful career in theater, directing acclaimed and visually stunning productions of William Shakespeare's ""The Tempest,"" Tennessee Williams' ""The Glass Menagerie,"" and Lionel Bart's popular musical ""Oliver!"" But it was his 1998 revival of ""Cabaret"" that attracted the attention of Hollywood - specifically Mendes fan Steven Spielberg, which led to the stage veteran directing his first feature. Following a few aborted film efforts and a triumphant return to theatre, Mendes returned to celluloid with the elaborate, lavish ""Road to Perdition"" (2002), which displayed some of the promise of his sterling debut, but ultimately failed to warm many hearts. Nonetheless, he maintained a steady output on stage and on screen, directing the Iraq War drama ""Jarhead"" (2005) and '50s period piece ""Revolutionary Road"" (2008), which starred his then-wife, Kate Winslet. Mendes took a huge commercial leap forward as the director of the 23rd and 24th James Bond films, ""Skyfall"" (2012) and ""Spectre"" (2015), which brought new emotional depth to the long-running series while confirming his status as an intelligent and deliberate filmmaker capable of crafting deeply resonant films."
Sarah Haskins,
Scott Beck,
Scott Derrickson,"Writer/director Scott Derrickson gave America nightmares with a series of slick scary movies. Seeing that so many of his films deal with the nature of good and evil, god and the devil, it should come as no surprise that Derrickson studied theology alongside literature, philosophy and film at Biola University, CA, a university known for its evangelical Christian viewpoint. Moving to the USC School of Cinematic Arts to study film production, Derrickson made his mark directing and co-writing (with regular collaborator Paul Harris Boardman) the short ""Love in Ruins"" (1995). His next project was as writer on slasher sequel ""Urban Legends: Final Cut"" (2000) before taking his first trip to hell writing and directing ""Hellraiser: Inferno"" (2000) the fifth installment in the long running horror franchise. After working with Wim Wenders on ""Land of Plenty"" (2004), Derrickson's first breakout hit was as director on ""The Exorcism of Emily Rose"" (2005), once again co-written with Boardman. This lead to Derrickson directing the big budget remake of sci-fi classic ""The Day the Earth Stood Still"" (2008) starring Keanu Reeves. Despite generally bad reviews, it still claimed the number one spot at the American box-office on opening weekend and went onto earn over $230 million worldwide. However it was a return to the supernatural with the deeply creepy ""Sinister"" (2012) which saw Derrickson pick up fans and critical plaudits alongside multiple awards and nominations on the horror film circuit. Stepping down from directing Derrickson and Boardman wrote the script for ""The Devil's Knot"" (2013), a crime drama with a satanic twist, directed by Atom Egoyan and starring Colin Firth and Reese Witherspoon. Derrickson returned to directing with ""Deliver Us From Evil"" (2014) based on the book ""Beware the Night"" (2001). In June 2014 Derrickson was confirmed as director of ""Doctor Strange"" (2016) with Benedict Cumberbatch taking the title role."
Scott Frank,"When considering darkly comic noirs like ""Get Shorty"" (1995) and ""Out of Sight"" (1998), or the bleak futuristic thriller ""Minority Report"" (2002), one could envision a haunted, brooding writer comfortable only in a seedy dive bar. But screenwriter Scott Frank - both affable and boyish in his late 40s - has been a far cry from Raymond Chandler or Dashiell Hammett, possessing instead the demeanor of a friendly English teacher or a kindly neighbor who loans out his snow blower with no questions asked.  Frank built a reputation as one of the most reliable and highly-paid screenwriters in the business, balancing book and short story adaptations with lucrative - and occasionally uncredited - rewrite gigs. While other successful writers bemoaned their lack of respect in Hollywood, Frank flourished with sanity and optimism intact, becoming one of the few widely known successes in a profession typically hidden behind closed doors."
Scott Rosenberg,
Simon Blackwell,"Prolific British television writer Simon Blackwell was a major creative force behind writer-producer Armando Iannucci's award-winning series ""The Thick of It"" (BBC Four, 2005-2012) and ""Veep"" (HBO, 2012- )Born May 27,1966 in the South London district of Battersea, Blackwell began his professional writing career in 1997, penning scripts for BBC Radio comedies like ""The Sunday Format"" (BBC Radio 4, 1996- ) and ""Dead Ringers"" (BBC Radio Two/Four, 2002-2007, 2014- ). Two years later, he moved into writing for television, contributing to specials, variety series and award shows like the International Emmy Award-winning ""The Kumars at No. 42"" (BBC One/Two, 2001- ) and ""Gash"" (Channel 4, 2003), which marked his first collaboration with Armando Iannucci. Two years later, Blackwell reteamed with Iannucci and several other ""Gash"" writers for the celebrated political satire ""The Thick of It,"" which earned him two BAFTA TV Award nominations. With Iannucci, Blackwell also co-wrote ""In the Loop"" (2009), a feature film spun off from ""Thick"" that earned an Oscar nomination for Best Screenplay. During this period, he also contributed to ""Thick Of It"" writer Jesse Armstrong's acclaimed comedy series ""Peep Show"" (Channel 4, 2003-2016) and ""The Old Guys"" (BBC One, 2009- ), as well as his feature ""Four Lions"" (2010), about an inept quartet of would-be terrorists. In 2012, he reunited again with Iannucci as writer and executive producer for the HBO comedy ""Veep,"" for which he earned two Emmys - Outstanding Comedy Series and Outstanding Writing for a Comedy Series - 2015. While producing ""Veep,"" Blackwell also stepped out on his own to create ""Trying Again"" (Sky Living, 2014), a melancholy comedy about a couple attempting to rebuild their relationship after an affair."
Stephany Folsom,
Stephen McFeely,
Susanna Fogel,
Tony McNamara,
Vanessa Taylor,
Will Fetters,
Zack Stentz,
