June Squibb,"June Squibb spent most of her six-decade acting career in small supporting roles until she finally gained recognition for her sterling performance in the comedy-drama ""Nebraska"" (2013). Squibb was born on November 6, 1929 in Vandalia, Illinois. In the first half of her acting career, Squibb focused entirely in theater. She trained at the Cleveland Play House, and later moved to New York City where she joined the Herbert Berghof Studio in Greenwich Village. Squibb landed her first big role as Dulcie in an off-Broadway production of ""The Boyfriend"" in 1958. For most actresses, thirty years spent in Broadway, regional theater, musicals, and cabaret would have been a lifetime's worth of acting. However, June's acting career had more to offer when she made her first feature film debut in 1990 alongside Al Pacino in ""Scent of a Woman."" Except for a recurring role as Pearl in ""The Young and the Restless"" (CBS 1973-), most of her ensuing roles were bit parts in big movies and popular television shows such as ""About Schmidt"" (2002) and ""Two and a Half Men"" (CBS 2003-). However, she surprised everyone in the role of Kate Grant in the 2013 film ""Nebraska."" Director Alexander Payne, whom Squibb worked with previously in ""About Schmidt,"" did not initially think to cast her for the role until she sent her audition tape with her two interpretations of Kate's character, one combative and the other restrained. The former won out as Squibb's Kate became the crass and potty-mouthed wife of the movie's central character, Woody Grant (Bruce Dern). Her performance was critically acclaimed, nominated for numerous film critics awards and a Golden Globe nomination for Best Performance by an Actress in a Supporting Role in a Motion Picture. In January 2014, the Academy of Motion Picture Arts and Sciences announced that Squibb was one of the year's Best Supporting Actress nominees."
Marceline Hugot,
Annette O'Toole,"A vivacious, red-haired actress who began her career as a dancer on a Danny Kaye special and now often plays wives and girlfriends, Annette O'Toole began her acting career in earnest with an episode of ""Gunsmoke."" She made her feature film debut as a savvy beauty contestant in ""Smile"" (1975) and next was Robby Benson's leading lady in ""One on One"" (1977), in which he was a misunderstood college student on a basketball scholarship and she gave him the support he needed. O'Toole had a similar role opposite Eric Roberts in ""King of the Gypsies"" (1978), in which he was a gypsy warring with his family and his background and she was his ""American"" girlfriend. She has subsequently played Lana Lang, the high school sweetheart of Clark Kent in ""Superman III"" (1983) and co-starred with Martin Short in ""Cross My Heart"" (1987)."
Will Brittain,
Dev Patel,"Prior to 2007, Dev Patel was just another London teenager, albeit one with a passion for acting and tae kwon-do. But after landing a role on the controversial television series ""Skins"" (E4, 2007-13), he caught the attention of director Danny Boyle, who was desperate for a non-traditional leading man of Indian descent for his new film. The picture, ""Slumdog Millionaire"" (2008), was a charming comedy-drama about a young resident of the Mumbai slums who earns a shot at improving his life via the game show ""Who Wants to be a Millionaire?"" Patel's endearing performance helped to make the film a hit with festival audiences around the world; it also signaled the emergence of a comic talent whose full screen potential had yet to be tapped. Patel went on to star in the romantic comedy ""The Best Exotic Marigold Hotel"" (2015) and its sequel ""The Second Best Exotic Marigold Hotel"" (2015), indie drama ""The Road Within"" (2014) and Neill Blonkamp's science fiction drama ""Chappie"" (2015), as well as taking on a supporting role in Aaron Sorkin's cable news drama ""The Newsroom"" (HBO 2012-14). A starring role in biopic ""The Man Who Knew Infinity"" (2016) was followed by a key supporting role in Garth Davis' fact-based drama ""Lion"" (2016), for which Patel was nominated for a Best Supporting Actor Oscar."
Tilda Swinton,"Tilda Swinton was an Academy Award-winning British actress who achieved widespread praise for her daring roles in acclaimed films like ""Adaptation"" (2002), ""We Need to Talk About Kevin"" (2011), and ""Michael Clayton"" (2007). Born into a privileged family in London (her father's Scottish roots trace all the way back to the Middle Ages), Swinton attended various boarding schools as a young girl, which she found isolating and lonely. When it came time to attend college, Swinton chose the University of Cambridge, where she would go on to earn a degree in social and political sciences. It was at Cambridge that Swinton first became involved in acting. She began appearing in plays while studying at Cambridge, and after graduation joined the prestigious Royal Shakespeare Company. Swinton made her debut with the Royal Shakespeare Company by appearing in ""Measure for Measure."" Swinton continued honing her acting craft on the London stage throughout the 1980s, but by the end of the decade she began transitioning into film acting. It was during this period that Swinton appeared in a number of experimental films by the English director Derek Jarman. These films included ""Caravaggio"" (1986), ""The Last of England"" (1988), and ""The Garden"" (1990). Swinton continued acting in independent films throughout the 90s, and although many of these films were not widely seen by the public, she consistently earned plaudits from critics. At the turn of the century, with over a decade of acting experience behind her, Swinton began making the transition into more mainstream films. She appeared in award-winning films like ""Adaptation"" and ""Broken Flowers"" (2005) during this period, as well as the big budget action film ""Constantine"" (2005). Then in 2007 she played an unscrupulous lawyer in the Tony Gilroy-directed legal thriller ""Michael Clayton."" Her supporting role in the film earned Swinton her first Oscar. In the years that followed her role in ""Michael Clayton,"" Swinton continued wowing both critics and audiences with her wide-ranging roles in films like ""We Need to Talk About Kevin,"" ""Trainwreck"" (2015), ""A Bigger Splash"" (2015), and the Wes Anderson animated film ""Isle of Dogs"" (2018). 2018 was also the year Swinton appeared alongside Dakota Johnson in the fantasy horror film ""Suspiria"" (2018), which was helmed by the Italian director Luca Guadagnino, who previously earned an Oscar nod for directing the 2017 romance drama ""Call Me By Your Name"" (2017)."
Hugh Laurie,"Though many American fans know Hugh Laurie best for his iconic role on the medical drama ""House"" (Fox, 2004-2012), viewers in Britain knew him far earlier for his wildly popular comedy work with creative partner Stephen Fry. Born in Oxford, England in 1959, Laurie was a successful member of his high school rowing team. He continued rowing after enrolling at Cambridge University, but after a bout of mononucleosis forced him to quit the team, Laurie discovered an unexpected new path in life by joining the Footlights drama club. It was there that he met and began working with Fry, performing their bits for theatrical audiences. Eventually, they brought their talents to the television screen on the sketch series ""Alfresco"" (ITV, 1983-84), shortly before they both joined the cast of the cult favorite series ""The Black Adder"" (BBC, 1986-1996) alongside Rowan Atkinson. Meanwhile, Laurie and Fry would find a new TV home for their collaborations when they began co-writing and co-starring on the sketch series ""A Bit of Fry and Laurie"" (BBC, 1987-1995). The show would run until 1995, with Laurie and Fry concurrently starring on the show ""Jeeves and Wooster"" (ITV, 1990-93) from 1990 to 1993. Laurie would enjoy success in movies as well, with memorable turns in ""Sense and Sensibility"" (1995) and ""Stuart Little"" (1999). After taking on the role of Dr. Gregory House on ""House"" in 2004 however, Laurie's fame reached a new level. He would stick with the series until 2012, going on to star on the series ""Chance"" (Hulu, 2016-) before signing on to star with George Clooney and Kyle Chandler in a mini-series adaptation of the novel ""Catch-22"" (Hulu, 2019)."
Peter Capaldi,"Scottish actor Peter Capaldi was one of the United Kingdom's best-kept secrets for decades until the summer of 2013, when he went from being ""who?"" to Doctor Who. A native Glaswegian, the wiry Capaldi gravitated towards performing in his youth, and initially gained notice for his supporting role in the beloved comedic drama ""Local Hero"" (1983). He went on to become a British television mainstay, while occasionally appearing in feature films. Following recurring roles or guest spots on various small-screen productions, he sidestepped into writing and directing with the short film ""Franz Kafka's It's a Wonderful Life"" (1995), which won both a BAFTA and Academy Award. Primarily sticking to on-screen work, Capaldi found his breakout role in 2005 as the fierce political mastermind Malcolm Tucker on the biting comedy ""The Thick of It"" (BBC, 2005-2012). In 2009, his international reputation grew when the series spun off into the acclaimed feature comedy ""In the Loop"" (2009), co-starring James Gandolfini. However, his profile was later raised considerably higher when it was announced that Capaldi would be the Twelfth Doctor on the venerable sci-fi series ""Doctor Who"" (BBC, 1963-1989, 1996, 2005- ), bringing him instant global attention. Capaldi remained in the role until the 2017 Christmas special, when he made way for the Thirteenth Doctor, played by Jodie Whittaker."
Ben Whishaw,
Gwendoline Christie,"With the incredible popularity of ""Game of Thrones"" (HBO, 2011- ), a number of actors became stars and fan favorites from the show. Once Gwendoline Christie came aboard in the role of Brienne of Tarth, her career took off, leading to featured appearances in ""The Hunger Games"" films as well as the ultimate fanboy franchise, the resurrection of the ""Star Wars"" universe. Christie was born in 1978 in Worthing, West Sussex, and grew up near South Downs. Christie grew very tall, 6'3, and was going to be a gymnast, but after injuring her back she turned to acting instead. Christie graduated from Drama Centre London in 2005, and was mentored by Simon Callow, a British actor and author who had featured roles in ""Amadeus"" (1984) and ""Shakespeare In Love"" (1998). In the British acting tradition, Christie performed in the theater, playing the Queen in Shakespeare's ""Cymbeline,"" and as Lucifer in ""Doctor Faustus."" Then Christie went to the big screen with roles in Terry Gilliam's ""The Imaginarium of Doctor Parnassus"" (2009), which featured the last performance of Heath Ledger, and ""The Zero Theorem"" (2013). Christie was cast as Brienne of Tarth in ""Game of Thrones"" in July 2011. The character was a cult favorite, and her fans were suggesting online that she would be perfect for the role before she officially came aboard. Christie's first appearance on ""Thrones"" was on the third episode of season two, which aired on April 15, 2012. As Christie's popularity as an actress grew, she landed the role of Commander Lyme in ""The Hunger Games: Mockingjay, Part One"" (2014) and its second half, the last two installments of the popular young adult franchise. This led to Christie landing in another major franchise with a fervent fan following. Riding the crest of her popularity, Christie portrayed a key villain in ""Star Wars: The Force Awakens"" (2015), the long awaited return of the legendary space opera, alongside Lupita N'yongo and Adam Driver."
Chadwick Boseman,"A charismatic performer with an easy Everyman presence, Chadwick Boseman paid his acting dues for a full decade before taking the spotlight with his starring turn in the Jackie Robinson biopic ""42"" (2013). With strong roots in theater, Boseman made a name for himself as a stage actor, director and playwright prior to landing notable screen roles. In 2003, he began appearing on television in one-off guest spots on various procedural dramas before joining the cast of the drama ""Lincoln Heights"" (ABC Family, 2007-09) as recurring character Nate Ray Taylor. Boseman subsequently found a regular part on the mysterious thriller series ""Persons Unknown"" (NBC, 2010), but the show was quickly cancelled. A starring role in the little-seen action movie ""The Kill Hole"" (2012) followed, but Boseman bounced back from this relative disappointment with the lead in Brian Helgeland's historical baseball drama ""42,"" a film that placed him squarely on the Hollywood map. Performances as James Brown in the biopic ""Get On Up"" (2014) and in the blockbusters ""Gods of Egypt"" (2016) and ""Captain America: Civil War"" (2016) maintained his standing as one of Hollywood's hottest young actors before his title performance in the blockbuster ""Black Panther"" (2018) made him an international superstar. Born in South Carolina, Chadwick Boseman gravitated towards the theater in his youth, going on to attend both Howard University in Washington, D.C. and the British American Dramatic Academy in Oxford, England. Establishing himself as a notable up-and-comer in African-American-centric theater productions, a number of which he wrote and directed, Boseman eventually set his sights on screen acting. Starting out in brief guest roles on procedural dramas such as ""Third Watch"" (NBC, 1999-2005) and ""Law & Order"" (NBC, 1990-2010), he finally garnered more notable parts in 2008, with a supporting role in the football movie ""The Express"" and an extended arc on the family drama ""Lincoln Heights,"" where he played a troubled young war vet. Boseman was seemingly on the verge on his big break when he was cast as the key character of another military vet, Sergeant Graham McNair, in Christopher McQuarrie's high-concept mystery series ""Persons Unknown"" (NBC, 2010). Unfortunately, the show was cancelled after 13 episodes, leaving him to return to one-off appearances on various television dramas, including fan-favorite fare such as ""Fringe"" (Fox, 2008-2013) and ""Justified"" (FX, 2010-15). Following a featured turn in the widely panned low-budget action film ""The Kill Hole"" (2012), Boseman's fortunes changed considerably. Veteran Hollywood writer/director Brian Helgeland tapped Boseman to play the main role of pioneering baseball player Jackie Robinson in the hit drama ""42,"" a production that not only led to immediate recognition for his determined performance, but also found him acting alongside film icon Harrison Ford. After playing another athlete opposite Kevin Costner in Ivan Reitman's ""Draft Day"" (2014), Boseman took on the task of portraying another influential black figure of the 20th century in the James Brown biopic ""Get On Up"" (2014). Boseman next appeared in Alex Proyas' Biblical epic ""Gods of Egypt"" and as the superhero Black Panther in ""Captain America: Civil War"" (2016) before gearing up for starring roles as Thurgood Marshall in ""Marshall"" (2016) and in his own superhero action fest, ""Black Panther"" (2018), which was a massive critical and commercial success upon its February 2018 release. Boseman returned to the role later that year in ""Avengers: Infinity War"" (2018). He next starred in the action thriller ""21 Bridges"" (2019) and appeared in Spike Lee's Vietnam drama ""Da 5 Bloods"" (2020).  Chadwick Boseman died at his home in Los Angeles on August 28, 2020 at the age of 43, following a four-year battle with colon cancer. His final film role was in the posthumous ""Ma Rainey's Black Bottom,"" which he completed in 2019."
Michael B. Jordan,"An assured and mature actor from an early age, Michael B. Jordan brought the complex web of heartbreak and triumph inherent to young, disadvantaged black men to vivid life in a number of acclaimed performances. Though his roles tended to be cut from the same dramatic cloth - his most significant characters were young men from troubled urban homes who fought to wrest control of their own lives - Jordan's naturalistic performances helped to bring each to life. Whether playing a young man caught up in the false promise of the drug trade on ""The Wire"" (HBO, 2002-08), a talented but troubled high school athlete on ""Friday Night Lights"" (NBC/101 Network, 2006-2011) or a man struggling to move beyond his past on ""Parenthood"" (NBC, 2010-15), Jordan infused each role with a riveting intensity. A jump to feature film work landed Jordan a turn in George Lucas' World War II aerial action drama ""Red Tails"" (2012) and a co-starring role in the surprise hit ""Chronicle"" (2012) as one of three teens who mysteriously find themselves endowed with superpowers. For his lead role in the based-on-fact drama ""Fruitvale Station"" (2013), Jordan went from promising young talent to acclaimed actor. He followed that breakthrough film success with a string of increasingly high-profile roles in hits like the ""Rocky"" (1975) sequel ""Creed"" (2015) and Marvel Cinematic Universe blockbuster ""Black Panther"" (2018)."
Lupita Nyong'o,"Rare is a feature film debut met with much acclaim, but rarer still is a talent such as Lupita Nyong'o. Hailing from Kenya by way of Mexico (where she was born in 1983) Nyong'o was the daughter of a Kenyan politician. In fact, it was during his time as a visiting lecturer in Mexico City that she came to be born in that country, with the family eventually moving back to Kenya when she was a year old. However, in addition to being sent back to Mexico by her parents later in life to learn Spanish, Nyong'o set out abroad for her education as well, this time to the United States to attend both Hampshire College and Yale University. During her time in school, she appeared in a number of stage productions. Following graduation, she made her initial foray into movies behind the camera, working on the production teams of films such as ""The Constant Gardener"" (2005) and ""The Namesake"" (2006). In 2009, she created, directed, produced and edited a documentary entitled ""In My Genes"" for her final thesis project at Hampshire. The project - focusing on the societal and personal challenges faced by Kenya's albino population - was a coming home for Nyong'o, who moved back to Nairobi around this time. Once there, she produced a video for MTV and eventually starred in a TV series, ""Shuga."" All of these achievements paled, however, compared to her casting as Patsey in director Steve McQueen's ""12 Years a Slave"" (2013). Nyong'o's searing performance was widely praised by both critics and audiences, and resulted in the rising young star winning the Academy Award for Best Supporting Actress. Following a supporting part in the Liam Neeson/Julianne Moore thriller ""Non-Stop"" (2014), Nyong'o next appeared in a motion-capture CGI role as Maz Katana in ""Star Wars: The Force Awakens"" (2015), a role she repeated in ""Star Wars: The Last Jedi"" (2017). In between, Nyong'o essayed a voice role as Raksha in Jon Favreau's ""The Jungle Book"" (2016) and starred opposite David Oyelowo in sports biography ""Queen of Katwe"" (2016). In 2018, she joined the all-star cast of the Marvel Cinematic Universe blockbuster ""Black Panther"" (2018)."
Danai Gurira,"Actress and playwright Danai Gurira won critical acclaim with her first play, ""In the Continuum"" (2006), which addressed social and political issues in her parents' home country of Africa. She would pen two more well regarded works - 2009's ""Eclipsed"" and 2011's ""The Convert, both of which concerned African issues - while enjoying a second career as an actress on television and in features like ""The Visitor"" (2009). Two years later, Gurira would enjoy her most prominent acting turn as the flinty zombie fighter Michonne on ""The Walking Dead"" (AMC, 2010- ). The positive response to her performance, in addition to her growing profile in the theater world, indicated that Gurira was poised for stardom in both mediums. Born Danai Jekesai Gurira on Feb. 14, 1978 in Grinnell, IA, she was the second of two children born to academic parents from Zimbabwe, who moved the family back to Africa when she was five years old. There, she enjoyed a happy childhood that soon became focused on performing. After high school, she returned to the United States, where she attended Macalester College in St. Paul, Minnesota before earning her masters degree in acting from the Tisch School at New York University. With Nikkole Salter, she wrote the off-Broadway play, ""In the Continuum"" (2006), about the lives of two women infected with HIV, which won the Obie and Outer Critics Circle Awards for writing, while Gurira herself claimed the Helen Hayes Award for Best Lead Actress in 2007. That same year, she made her feature film debut in ""The Visitor"" (2007) as a young Senegalese woman who helped a widowed economics professor (Richard Jenkins) find joy and purpose in his life. Minor roles in ""Ghost Town"" (2008) and Wes Craven's ""My Soul to Take"" (2010) soon followed, as did Gurira's Broadway debut as an actress in a production of August Wilson's ""Joe Turner's Come and Gone"" in 2009. That same year, she premiered her second play, ""Eclipsed"" (2009), about a quartet of women held captive by a rebel leader during the war in Liberia in 2003. The production won Best New Play at the 2010 Helen Hayes Awards as well as Best Playwright for Gurira from the NAACP Theater Awards that same year. In 2011, she appeared in William Shakespeare's ""Measure for Measure"" with the New York Shakespeare Festival, and then premiered her third play, ""The Convert,"" about a teenage girl in 19th century Zimbabwe who turned to Christianity to evade an arranged marriage. Like its predecessors, the play won several major theater awards, including the 2011 Stavis Award and Edgerton Foundation New American Plays Award. After enjoying a supporting role in a six-episode story arc on ""Treme"" (HBO, 2010-13), Gurira earned her breakout screen role as Michonne, a tough, resourceful new character on the third season of ""The Walking Dead""; Michonne immediately became not only a fan favorite, but one of the series' most important characters Gurira was subsequently cast as the lead in ""Mother of George"" (2013), an independent drama with an African setting. In addition to her acting and playwrighting careers, Gurira was co-founder of Almasi, an organization devoted to supporting arts education in Zimbabwe. In 2015, Gurira's fourth play, ""Familiar,"" was produced. After playing the mother of iconic rapper Tupac Shakur in the biopic ""All Eyez on Me"" (2017), Gurira joined the cast of another international phenomenon with her role as Okoye in the blockbuster ""Black Panther"" (2018). She reprised the role later the same year in ""Avengers: Infinity War"" (2018)."
Martin Freeman,"With a knack for milking comedy gold out of awkward situations, English actor Martin Freeman became a mainstay on the BBC prior to expanding his work to international film. After a number of years spent paying his dues with minor parts, Freeman broke out as the prank-loving Tim Canterbury on Ricky Gervais and Stephen Merchant's hit sitcom ""The Office"" (BBC 1/BBC 2, 2001-03). The increasingly popular actor jumped to the big screen, first with a supporting role in the ensemble romance ""Love Actually"" (2003), followed by the lead in the inspired adaptation of the cult classic novel ""The Hitchhiker's Guide to the Galaxy"" (2005). An exceptionally prolific period followed, during which Freeman divided his time between television work and appearances in such films as the action-comedy ""Hot Fuzz"" (2007). The actor garnered more acclaim than ever before when he was cast in the role of Dr. John Watson on the modernized interpretation of Sir Arthur Conan Doyle's iconic creation ""Sherlock"" (BBC 1, 2010- ) opposite Benedict Cumberbatch as the eccentric super-sleuth. Freeman's scored his biggest role yet as the diminutive Bilbo Baggins in Peter Jackson's ""The Hobbit: An Unexpected Journey"" (2012), the first in another trilogy based on the works of J.R.R. Tolkien. Freeman continued his work in both comedy and drama, appearing in films ranging from war correspondent satire ""Whiskey Tango Foxtrot"" (2016) to post-apocalyptic thriller ""Cargo"" (2017), while also appearing in the Marvel Cinematic Universe in ""Captain America: Civil War"" (2016) and ""Black Panther"" (2018) and gaining critical acclaim in the first series of crime anthology ""Fargo"" (FX 2015- ). While known for his comedic acumen, Freeman's everyman appeal and impressive range made him one of the more sought after British imports of his day."
Daniel Kaluuya,"Born in London, Daniel Kaluuya's career in entertainment started off in a way that became somewhat typical for young British actors in the mid-2000s. He first appeared in the BBC film ""Shoot the Messenger"" (2006) and followed that up with a recurring role on the teen drama ""Skins"" (E4 2007-2013), where he played the role of Posh Kenneth and also joined the writing staff. His notoriety on ""Skins"" led to many TV appearances in England, including guest spots on ""Doctor Who"" (BBC 1963- ) and the crime drama ""Silent Witness"" (BBC 1996- ), and the sketch comedy show ""That Mitchell and Webb Look"" (BBC 2006-2010). While he appeared somewhat regularly on television, Kaluuya also took to the stage, earning acclaim for a number of performances. After a small part in the Rowan Atkinson comedy ""Johnny English Reborn"" (2011), his presence in films started to pick up, as he then broke more into the American mainstream as the villainous Black Death in the comic book film ""Kick-Ass 2"" (2013). He then followed that up with a role as an FBI agent in crime drama ""Sicario"" (2015). At the end of 2016, it was announced he would play the role of W'Kabi in the Marvel film ""Black Panther"" (2018). Shortly after the announcement, the Jordan Peele-directed horror film ""Get Out"" (2017) came out to rave reviews and box office success. Kaluuya received much praise, including an Oscar nomination for Best Actor, for his breakout performance in the film about an African-American man (Kaluuya) meeting his girlfriend's parents in a small suburban town. Kaluuya was next seen as W'Kabi in the blockbuster superhero film ""Black Panther"" (2018)."
Robert Downey Jr.,"Despite Oscar and Golden Globe nominations and the unshakeable respect of film critics and his acting peers, Robert Downey, Jr. insisted that he was not really an actor, just a good hustler who had found a way to make a living. If he did not believe he was acting, it was certainly reflected in his seamless skills, which were full of natural, physical expressiveness. After making himself known as the drug-addicted antihero of ""Less Than Zero"" (1987), Downey delivered an uncanny portrayal of beloved silent film star ""Chaplin"" (1992), which earned him some of the highest praise of his career. But his gift had always been to transform a regular person into a creatively-detailed and thoroughly engrossing star of the show, often complete with memorable quirks. Even in his early roles in teen comedies, Downey stood out above his Brat Pack peers for his spontaneous energy and apparent fearlessness in exposing his very fragile inner workings. Though he made headlines for his manic portrayal of a tabloid TV journalist in ""Natural Born Killers"" (1994) and a gay book editor in ""Wonder Boys"" (2000), Downey unfortunately became more famous for his longtime drug addictions and numerous run-ins with the law. He eventually emerged from almost certain tragedy by attaining sobriety and re-launching his flagging career with a blockbuster starring turn in the hit ""Iron Man"" (2008), while earning laughs as a chameleon-like actor in ""Tropic Thunder"" (2008), which only confirmed that the public loved a good comeback story as well as appreciated Downey's incredibly likeable presence on the big screen. Continuing his role as Iron Man throughout the series of Marvel Cinematic Universe films, including the blockbuster hit ""The Avengers"" (2012) and its sequels, Downey also starred in films ranging from ""Sherlock Holmes"" (2009) to familial legal drama ""The Judge"" (2014). In 2019, he would appear again as Tony Stark in ""Avengers: Endgame,"" reported to be the conclusion to the story of the original Avengers team. He also filmed a starring role in ""The Voyage of Dr. Dolittle"" (2020), and, through his banner Team Downey, was producing a remake of ""Perry Mason"" for HBO."
Chris Evans,"Actor Chris Evans began his acting career in typical fashion, but it was his rapid rise to stardom which was unusual. Bitten by the acting bug in the first grade, Evans started out appearing in school plays and theater camp; from there it was a quick jump to local community theater, and later, an internship for a casting office. Once Evans made friends with a few agents on the job, it was a straight shot to television and blockbuster features. One of the more talented of the fair-haired, pretty-boy actors to emerge in the early years of the new millennium, Evans scored with roles in a succession of high-profile releases. His breakthrough came in 2005 when he was tapped to play the role of the Human Torch in director Tim Story's adaptation of the Marvel Comics classic ""The Fantastic Four"" and its subsequent sequel, ""Fantastic Four: Rise of the Silver Surfer"" (2007). By the time he starred in ""Scott Pilgrim vs. The World"" (2010) and as Captain America, one of the central pillars of the Marvel Cinematic Universe in films including ""Captain America: The First Avenger"" (2011), ""Avengers: Age of Ultron"" (2015) and ""Captain America: Civil War"" (2016), Evans was a star assured of accomplishing even greater things. Simultaneously, his work starring in and directing romantic drama ""Before We Go"" (2014) and starring in family drama ""Gifted"" (2017) showed off his non-superhero range."
Mark Ruffalo,"Like many other actors who were tagged ""best of a generation,"" Mark Ruffalo's roots were in theater and independent film where his honest, open character approach was applauded. His breakout stage role in Kenneth Lonergan's acclaimed ""This Is Our Youth"" led Lonergan to give Ruffalo the lead in his film directorial debut ""You Can Count on Me"" (2000), which earned countless festival awards and had critics buzzing about the little-known actor's subtle, compelling performance as a cerebral but aimless young adult with an arrest record and a pregnant teenage girlfriend. Hollywood came courting, but struggled with a tidy niche in which to put the darkly handsome actor; first offering him small but effective character roles as ""conflicted"" types in big budget thrillers like ""Collateral"" (2004) before unsuccessfully making the understated actor into a bland leading man in romantic comedies like ""Just Like Heaven"" (2005). Ruffalo eventually found an appropriate arena somewhere between the multiplex and the art house, favored by character-driven directors like Jane Campion, David Fincher, Steven Zaillian and eventually Martin Scorsese - all of whom capitalized on the actor's talent for believably disappearing into complex, empathetic characters."
Chris Hemsworth,"Tall, muscular and exceptionally handsome, Australian actor Chris Hemsworth became a star in the U.S. with a series of well-received genre films. He was a household name in his native country while starring on the popular drama series, ""Home and Away"" (7 Network, 1988- ), playing an opinionated student navigating his way through high school in a seaside town. He quickly became a sci-fi sensation across the pond with a brief but memorable role in the J.J. Abrams reboot of the worldwide phenomenon ""Star Trek"" (2009) as Capt. James T. Kirk's ill-fated father. But it was not until he landed the lead role in the film version of the comic book hero ""Thor"" (2011) - beating out his younger brother, fellow heartthrob Liam, in the process - that Hemsworth truly flexed his muscles, establishing himself as one of the most charismatic young actors of the moment. Lionsgate films quickly capitalized on Hemsworth's popularity by releasing the long-delayed horror feature ""The Cabin in the Woods"" (2012), co-written by Joss Whedon. Ironically, it was Whedon who later directed the young star in the superhero blockbuster ""The Avengers"" (2012), bringing together ""Thor"" and Marvel Studios' other franchise films. Along with his continuing screen presence as the Nordic superhero, Hemsworth expanded with range with films ranging from the thriller ""Blackhat"" (2015), Ron Howard's sailing drama ""In the Heart of the Sea"" (2015), and two fantasy films based on fairy tales, ""Snow White and the Huntsman"" (2012) and ""The Huntsman: Winter's War"" (2016). As talented as he was attractive, Hemsworth was without a doubt, a leading man to watch."
Scarlett Johansson,"Scarlett Johansson moved from being an indie darling to one of the most recognizable actresses in the world thanks to her standing as a member of Marvel's ""The Avengers"" (2012). A native of Manhattan, she began studying acting as a child and made her screen debut at the age of nine in ""North"" (1994). The actress played the daughter of John Ritter in the Rob Reiner comedy. Similarly, she was cast as Sean Connery's daughter in the drama ""Just Cause"" (1995). The actress earned her first starring role playing opposite Aleksa Palladino in ""Manny & Lo"" (1996) about a pair of sisters running away from foster care. She was featured in director Eric Schaeffer's ""If Lucy Fell"" (1996) and ""Fall"" (1997). She had roles as well in the broad comedy ""Home Alone 3"" (1997) and Robert Redford's ""The Horse Whisperer"" (1998). Johansson began establishing her indie credentials when she teamed with Thora Birch for Terry Zwigoff's dark comedy ""Ghost World"" (2001). After a supporting role in the action comedy ""Eight Legged Freaks"" (2002), the actress began her march towards stardom in earnest. Director Sofia Coppola cast her as the disillusioned young woman who hangs out with Bill Murray's jaded actor during a trip to Tokyo in ""Lost in Translation"" (2003). She followed with a role as the muse to Colin Firth's Johannes Vermeer in ""The Girl with a Pearl Earring"" (2003). The following year she starred with future ""Avengers"" co-star Chris Evans in ""The Perfect Score"" (2004) and teamed with John Travolta in ""A Love Song for Bobby Long"" (2004). She would add roles opposite Helen Hunt in ""A Good Woman"" (2004) and as Dennis Quaid's daughter in ""In Good Company"" (2004). Woody Allen cast the actress as the lead in his ""Match Point"" (2005), and Michael Bay did likewise for his thriller ""The Island"" (2005). She would work with Allen again when he cast her alongside Hugh Jackman as a journalism student investigating a serial killer. She continued to work at an impressive clip, starring in ""The Black Dahlia"" (2006), ""The Prestige"" (2006), ""The Nanny Diaries"" (2007), and ""The Other Boleyn Girl"" (2008) in succession. Allen again used the actress, this time partnered with Rebecca Hall and Javier Bardem for ""Vicky Cristina Barcelona"" (2008). The actress also began mixing in Broadway performances, earning a Tony for her role opposite Liev Schreiber in ""A View from the Bridge."" She went from drama to blockbuster, though, when she agreed to play former assassin Natasha Romanoff, aka Black Widow, in the Marvel Cinematic Universe. Johansson made her debut as the character in the Robert Downey Jr. vehicle ""Iron Man 2"" (2010) and brought the character to fruition fully in ""The Avengers."" Outside of the superhero world, she starred with Matt Damon in ""We Bought a Zoo"" (2011) and portrayed actress Janet Leigh in ""Hitchcock"" (2012). Actor Joseph Gordon-Levitt cast her in his directorial debut ""Don Jon"" (2013). Even though she didn't appear on screen, Johansson gained notice for voicing a virtual assistant that Joaquin Phoenix forms an unhealthy bond with in Spike Jonze's ""Her"" (2013). She continued her trend of working with strong directors when she co-starred in Jon Favreau's ""Chef"" (2014). The Marvel world soon beckoned, however, and she returned to playing Black Widow for ""Captain America: The Winter Soldier"" (2014) and ""Avengers: Age of Ultron"" (2015). Having proven her physical prowess in the superhero films, she starred as a genetically altered woman in Luc Besson's thriller ""Lucy"" (2014). She would later join the ensemble cast of the Coen Brothers' Hollywood comedy ""Hail, Caesar!"" (2016) and starred in the live-action remake of the anime classic ""Ghost in the Shell"" (2017). She also starred with Kate McKinnon and Ilana Glazer in the comedy ""Rough Night"" (2017). Her run as Black Widow reached a whole new level with ""Captain America: Civil War"" (2016), ""Avengers: Infinity War"" (2018), and ""Avengers: Endgame"" (2019). The three films would combine to take in more than $5-billion dollars at the box office worldwide. She gained positive reviews for her role opposite Adam Driver in ""Marriage Story"" (2019) playing an actress going through a divorce. She also appeared in Taika Waititi's inventive ""Jojo Rabbit"" (2019). After appearing as Natasha Romanoff alongside a variety of other superheroes, Johansson's character was finally given a stand-alone film with ""Black Widow"" (2020)."
